Episode;AvgDrag;AvgLift;AvgRecircArea;EnvNum;EpiReward
1;-0.7282983660697937;0.13155986368656158;1.7641972303390503;3;0
1;-0.7287329435348511;-0.12424992024898529;1.6444791555404663;8;0
1;-0.7281616926193237;-0.13087259232997894;1.7914454936981201;9;0
1;-0.7251481413841248;0.11036504060029984;1.8448355197906494;5;0
1;-0.7216725945472717;0.0102646229788661;1.8343470096588135;48;0
1;-0.7228818535804749;-0.08539052307605743;1.856001377105713;1;0
1;-0.728746235370636;-0.12456002831459045;1.7067813873291016;10;0
1;-0.7254824638366699;0.1134452223777771;1.84907066822052;40;0
1;-0.7283552289009094;-0.1312863528728485;1.789123773574829;14;0
1;-0.7278636693954468;0.12990127503871918;1.932077169418335;15;0
1;-0.7270784974098206;-0.12599912285804749;1.7956233024597168;16;0
1;-0.7278516292572021;0.11074768006801605;1.6967370510101318;13;0
1;-0.7229539155960083;-0.08648404479026794;1.8556606769561768;38;0
1;-0.726676344871521;-0.09458822757005692;1.7760223150253296;32;0
1;-0.7231554985046387;0.08657209575176239;1.8888399600982666;33;0
1;-0.726772129535675;0.0968172624707222;1.7320034503936768;49;0
1;-0.7282088994979858;-0.13099446892738342;1.7914454936981201;20;0
1;-0.7219238877296448;-0.011710131540894508;1.686797022819519;35;0
1;-0.7216631770133972;-0.002570237498730421;1.6867120265960693;43;0
1;-0.72151780128479;0.004972228780388832;1.7819522619247437;30;0
1;-0.7229346036911011;-0.03629248961806297;1.7138315439224243;11;0
1;-0.7239989042282104;-0.05565955117344856;1.681827187538147;6;0
1;-0.728830873966217;-0.12717047333717346;1.724334478378296;19;0
1;-0.7237616777420044;0.05441085621714592;1.712476372718811;54;0
1;-0.7258958220481873;0.11698741465806961;1.8686167001724243;4;0
1;-0.7225183248519897;0.03165499493479729;1.7880606651306152;7;0
1;-0.7210889458656311;-0.027592681348323822;1.75242018699646;22;0
1;-0.7215738296508789;0.001285568461753428;1.6930902004241943;12;0
